IPEDS,BlkTotalStudents,HispTotalStudents,2017USNewstop65,2014MedSchool,VetSchool,TotalEnroll,GradEnroll,Sixyeargraduationrate,ACTSATAvg,FreshAdmitRate,FreshmenRetention,UGPellGrants,Bachelors,DoctProfess,TotalEGExpend,EGSt.FTE,StateAppropRev,TuitionFeeRev,RevfromState,RevfromTuitFees,fromStateTuition,Endowment,TotalResearchExpenditures000,StudentFacultyRatio,TotalFaculty,ARUFacultyAwards,WallSt.JourlRank,ST.FTE,TotalDegrees,TotalExpend,TotalRevenue,EnowmentSt.FTE,AGResearch000,TotalTenureTenureTrackFacutly,FacutlyFTE,UGwithLoans,UGAge25,TotalAge25,FullTime,FacultyAcademyMemb,UGTotalEnroll,GRTotalEnroll,FulltimeStudents,ParttimeStudents,UGEnrollAge25,GREnrollAge25,BachDegrees,MastersDegrees,DoctoralDegrees,ProfessDegrees,ACTSAT25,ACTSAT75,StateTuitSt.FTE,AcademicSupportExpenditures,StudentServicesExpenditures,EndowmentFigure,EndowmentperStudentFTE,TotalFaculty,TotalTenureTenureTrackFacutly
104151,4,17,63,0,0,51984,20,66,25.5,83,86,28,70,6,1796600000,42248,338042000,1021014000,16,48,64,612589550,458412,23,2103,9,0,47932,13022,2025050000,2117290000,6903,0,1365,1991,43,12,23,88,22,41828,10156,45906,6078,5149,6836,9075,3196,528,223,23,28,28354,625833000,13057,625833000,13057,1935,1329
139755,6,6,7,0,0,25034,40,85,31.5,32,97,13,58,9,1335978966,67217,227216008,318573215,15,20,35,1843763800,765370,19,1072,15,0,21372,5682,1436558192,1563387433,82918,0,939,1133,31,4,30,78,26,15142,9892,19541,5493,647,6880,3274,1882,526,0,29,34,25538,1889014000,88387,1889014000,88387,1031,923
166629,4,5,27,0,0,29269,22,78,27.0,58,91,21,77,4,824901602,41912,298423000,341462000,26,30,57,287212784,213902,18,1635,12,178,25316,7838,1061031000,1132525000,11225,24915,1054,1426,59,8,24,80,7,22748,6521,23339,5930,1754,5281,6069,1418,268,29,25,29,25276,307098028,12131,307098028,12131,1321,1051
126614,2,10,38,0,0,33056,18,71,27.0,80,86,16,76,8,1054279692,43647,197543100,539664752,14,40,54,1062663825,420775,18,2151,19,186,29348,7682,1280963589,1365034609,19603,10,1086,1688,31,6,18,83,30,27142,5914,27494,5562,1749,4228,5851,1225,434,172,24,30,25120,0,0,528800000,18018,1457,1080
209551,2,9,46,0,0,24032,15,71,24.0,74,88,24,81,5,602894543,38081,55861601,368096326,6,42,49,706973000,79698,19,1558,7,375,22441,6327,854592766,871529643,31375,0,732,1222,38,8,18,90,10,20538,3494,21646,2386,1648,2608,5110,897,199,121,21,27,18892,659671118,29395,659671118,29395,1054,711
196097,6,9,42,1,0,25272,33,68,28.0,41,90,32,64,9,983256325,103451,455214819,216565759,20,10,30,262190973,220580,17,2405,11,134,22457,6828,2323244463,2241079986,11691,0,1084,1910,44,8,28,83,15,16831,8441,21050,4222,1350,5818,4363,1865,347,253,25,31,29914,196350990,8743,196350990,8743,1663,1010
110653,2,22,9,1,0,30836,18,88,25.5,39,93,43,77,7,1422918406,83452,260685000,446990000,10,17,28,498171336,329798,19,2148,15,0,30313,8767,2529696000,2562418000,15956,0,1170,1868,42,4,16,97,30,25256,5580,30052,784,1110,3829,6763,1412,390,202,22,29,23345,310163000,10232,310163000,10232,1723,1159
110680,1,14,10,1,0,32906,19,87,30.0,34,95,33,76,9,2476828384,124089,311133000,500926000,7,11,18,1176581371,1101466,19,2607,35,0,32239,7724,4000535000,4442592000,35383,0,1248,2273,39,6,17,97,118,26590,6316,31906,1000,1506,4043,5884,1156,505,179,27,33,25188,534912000,16592,534912000,16592,2075,1226
129020,5,8,20,1,0,27043,30,83,27.5,53,92,19,69,9,1344117519,89352,631344030,324520586,25,13,38,377170484,259397,17,2032,8,0,24826,8216,2218286038,2512327247,13088,7011,1298,1864,50,3,23,88,1,18826,8217,23718,3325,579,5529,5692,1744,339,421,25,30,38502,367014863,14783,367014863,14783,1896,1290
153658,3,6,35,1,0,30844,24,72,25.5,81,85,21,71,12,1213507000,108223,242855000,384359000,8,12,20,1269775800,443218,15,2685,12,0,26695,7649,2888984000,3158401000,45111,0,1497,2442,44,8,23,80,22,23357,7487,24620,6224,1879,5303,5419,1287,453,490,23,28,23496,1251356000,46877,1251356000,46877,2320,1391
196088,6,5,43,1,0,29796,33,74,25.5,60,88,31,58,12,946384957,39259,413094614,251923446,41,25,66,600960825,382935,13,2348,13,0,26496,8520,1040215629,1004776566,22688,0,1149,1847,47,7,25,83,7,19953,9843,24846,4950,1494,6069,4983,2509,342,686,23,28,25099,624790675,23581,624790675,23581,1597,1128
230764,1,10,52,1,0,31592,25,64,24.5,81,89,27,66,10,1723572000,144701,287929000,304008000,7,8,15,957990,518928,16,1723,13,0,25818,7961,3735900000,3988353000,41,0,1144,1716,34,27,40,73,20,23794,7798,22931,8661,6355,6295,5246,1948,384,383,21,28,22927,723827000,28036,723827000,28036,1712,1141
110671,4,33,58,1,0,21385,13,73,24.0,56,91,52,86,5,671223441,37916,219025000,275070000,25,32,57,191420248,144511,19,1007,9,0,21076,5522,799111000,872159000,8934,16754,689,899,54,5,13,98,8,18607,2778,20921,464,925,1904,4729,521,272,0,21,27,23444,136003000,6453,136003000,6453,844,682
104179,4,23,62,1,0,42595,22,61,24.0,76,80,28,73,10,1575255000,47870,294475000,554768000,14,27,42,754401000,606219,22,2425,12,0,38603,9717,1847924000,2042135000,17724,56581,1549,2026,41,8,23,86,30,33331,9264,36607,5988,2657,7152,7076,1702,528,411,0,0,21999,760679000,19705,760679000,19705,1820,1449
